難易度,曲名,理論値,全国TOP,月岡恋鐘さんのスコア,全国平均,BPI
sl12,Chocomint Mille-feuille [Jammed],6278,5726,0,4803.99,不明
sl12,emergency call: Xeno [Unknown Encountered],5956,5656,0,4773.47,不明
sl12,End Time A⇒Side [Deadly End],3600,3250,2894,2661.04,15.53
sl12,duty [act out of "duty"],4594,4387,0,3567.03,不明
sl12,ting ting [belong],5126,5043,0,4272.77,不明
sl12,Magical Love Words [フィジカル横認識],6666,6591,5687,5361.84,3.18
sl12,Chase Mission [INSANE],5000,4804,0,3940.59,不明
sl12,Luna Express 2032 [銀河鉄道999],4840,4671,0,3978.72,不明
sl12,Bad Elixir -Eclipse-,4600,4375,0,3603.14,不明
sl12,Red-rize "B172 mix" // 7keys GOD,5614,5468,5042,4377.56,21.67
sl12,Total Eclipse of the Sun -Nightmare-,6320,6268,0,5148.88,不明
sl12,クォークの海を泳いで [SP NEUTRINO],4800,4379,0,3622.47,不明
sl12,Forty-Four [INSANE],7480,7353,0,6122.2,不明
sl12,ハニエルのうた [EXTRA],4000,3861,3272,3058.87,4.92
sl12,ロスト：ユートピアと真理と純粋の極彩世界 [Heroic],5760,5428,0,4459.27,不明
sl12,星少女ステラユニオン -叛逆の物語-,5192,5108,0,4325.38,不明
sl12,A D D i c T i O N 4 5 0 0 0 0 0 -L u N A-,8740,8521,0,6663.53,不明
sl12,夢/あるいは在りし日の ［usual days'］,4250,4221,3727,3529.04,3.16
sl12,Lyrith -迷宮リリス- [INSANE],5836,5666,0,3372.96,不明
sl12,Strahlzwerg [AromaMateria],4156,3996,3720,3256.96,27.15
sl12,wilis [G2],3490,3145,0,2667.76,不明
sl12,tightrope city [taxy],6476,6463,0,5801.35,不明
sl12,sunken azure world [マヨマヨ],6276,6263,0,5537.48,不明
sl12,Megalovania HardRockArrange [決意],4740,4695,4492,3803.98,28.95
sl12,Sigmoid [Analytic],3864,3742,0,2792.93,不明
sl12,Cosmogazer [2844.10.10],5688,5502,0,4521.52,不明
sl12,ドキッ！けふぃーとひ・み・つｖのサッカータイム☆☆ニャホニャホしても、いいんですよ･･･？　 〜KEFIFAワールドカップ編 We love 汚滝健太郎〜,4966,4793,3955,3575.85,5.97
sl12,Suffering of screw [chaotic world],5380,5201,0,4005.97,不明
sl12,DANCE &amp; (wish me a) MERRY CHRISTMAS!,3600,3525,3317,2828.06,28.24
sl12,Terpsichore [Li],4272,4046,3587,3294.27,11.97
sl12,Wizdomiot [Kerother],4938,4676,4076,3723.44,10.57
sl12,Endkraft -END-,5252,5047,0,3868.82,不明
sl12,hemorrhoids,4440,4375,0,3667.32,不明
sl12,satellite -MOON-,5090,4854,0,4152.95,不明
sl12,円環の理 [ＱＢTHER],4954,4830,4258,4075.9,4.09
sl12,どうか私を殺して下さい [INFERNO],4966,4677,0,3916.55,不明
sl12,失望Choco (-ω-),4860,4722,4299,3401.33,25.8
sl12,AXION [αχιον],4000,3744,3530,3091.92,37.51
sl12,非徘徊主義 (-ω-),6800,6720,0,5493.37,不明
sl12,絵空事の世界と私 -aletheia-,5500,5475,4992,4581.62,6.66
sl12,CHRONO TRIGGER 〜世界変革の時〜 (SP BLACK ANOTHER+),6600,6119,0,4720.7,不明
sl12,blue traces [Capture],6000,5892,0,4454.15,不明
sl12,Bird Sprite -Awakening of Light- [HARDEST],4502,4436,0,3771.17,不明
sl12,Cinderella Cage -Trancecore Mix- [ANOTHER],5172,5058,0,3189.34,不明
sl12,風塵少女-Wind Rush- [INFELNO],4820,4679,4320,3965.94,16.2
sl12,Tiro finale [ティロティロMASTER],4220,4060,3531,3251.96,8.21
sl12,Cross Galaxy [INFELNO],5902,5739,0,4892.07,不明
sl12,Akasagarbha  [yumether],4222,4192,3725,3336.28,7.05
sl12,織姫 -EX-,6774,6401,0,4896.71,不明
sl12,Lucifuge Rofocale [EX+],6116,6073,5470,4796.24,9.53
