難易度,曲名,理論値,全国TOP,月岡恋鐘さんのスコア,全国平均,BPI
sl2,Existence [Another+],4112,4100,3821,3471.63,8.83
sl2,After Burner,4224,4204,0,3129.71,不明
sl2,Cryonix [Another],3000,2991,0,2300.36,不明
sl2,Agito [ENT+],4030,4002,0,3443.85,不明
sl2,Lucid Dreaming [U],3566,3522,0,2953.72,不明
sl2,Loli Plaza (pms edit) [MANIAQ],2480,2470,0,2003.98,不明
sl2,Fiore Tempesta [HARD],3430,3389,0,2855.19,不明
sl2,Kreuz [時間と機械の物語],3000,2985,2750,2431.28,10.75
sl2,ELECTRiCiTY [7_another],3018,3000,0,2414.72,不明
sl2,7 colors* -Prismatic Colors-,3554,3548,3459,3200.94,18.29
sl2,Meaning of Existence [niche],4294,4285,0,3696.69,不明
sl2,Blooming [7key Spring],3456,3429,3316,2996.15,27.17
sl2,白黒高速大回転 [皿高速大回転],3448,3403,0,2902.93,不明
sl2,Toki (Sound piercer's Timesucker Remix) [SP ANOTHER],3644,3623,3480,2982.39,25.7
sl2,orangegirl sentiment [Maniac],3162,3148,0,2593.99,不明
sl2,Ring Ring Ring ☆ Let's H! [M@STER],4040,4018,0,3451.36,不明
sl2,Natullary [Hi],3090,3082,0,2770.71,不明
sl2,空跳ぶ少女 [JUMPER(Lanother)],3692,3633,0,3049.53,不明
sl2,★So SweeT LittlE HearT★ [HARD],4932,4873,0,4077.37,不明
sl2,紅月夜想　〜Scarlet Nocturne〜 [HARD],2984,2977,0,2648.84,不明
sl2,Central DELAY [BEGINNER],3580,3472,3281,2951.95,27.37
sl2,Metropolis [7key,Another+],3672,3651,0,3119.91,不明
sl2,zodiac (ANOTHER7),3000,2986,2851,2472.78,20.55
sl3,Shamshir -rough Pt.2- [7key,Another],3862,3850,0,3156.81,不明
sl3,Wicked Laboratory,3662,3596,0,2984.78,不明
sl3,MAGENTA POTION [INSANE],4166,4108,0,3555.18,不明
sl3,QTロジック [アンドロイドなのですし],3364,3362,0,3078.92,不明
sl3,Lilith ambivalence lovers [ANOTHER+],4584,4526,0,3969.53,不明
sl3,Breeze [BITTER7],3566,3495,0,3061.78,不明
sl3,clockworkforest [ANOTHER],4282,4191,0,3657.97,不明
sl3,HARDCORE UNDERSTAND [ANOTHER],3786,3725,0,3188.68,不明
sl3,宵桜回廊 [ANOTHER],3636,3545,0,3021.85,不明
sl3,マツユキソウ [ZOI],3828,3788,0,3379.2,不明
sl3,Phynalvent [offensive],4032,4021,0,3427.3,不明
sl3,Crazy Moon Night -Another-,4780,4700,0,4016.14,不明
sl3,運命論 ~notte stellata~,3720,3537,3282,2997.04,22.03
sl3,甘でラッシュ！ [W],4078,3991,0,3421.87,不明
sl3,プナイプナイせんそう [HARD],3520,3452,3166,2865.53,14.14
sl3,４２２ [Mild],3552,3496,3321,3001.76,23.41
sl3,R.I.P. [W],3684,3666,0,3166.07,不明
sl3,Electric Emotion [YoitherEASY],3720,3670,3519,3114.41,29.4
